Use Case,Status,Price,Discount code,Pain,Loss Reason,Source,City,Created Year,Created Month,Close Year,Close Month
Educational Seminars,Closed Won,300.0,SAVEMORE50,operations,not target,Inbound,Chicago,2019,11,2019,11
Sports Events,Closed Lost,150.0,2SEMESTERS20OFF,operations,price,Inbound,Chicago,2019,11,2019,11
Sports Events,Closed Lost,768.0,HALFYEAR20G,operations,no response,Inbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,240.0,DISCOUNT50POWER,financial control,not target,Inbound,San Diego,2019,5,2019,5
Sports Events,Closed Lost,240.0,SAVEMONTH50G,financial control,no response,Inbound,Chicago,2019,11,2019,11
Corporate Events,Closed Lost,360.0,MONTHSAVE25DEAL,financial control,price,Inbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,768.0,2SEMESTERS20OFF,operations,not target,Inbound,Chicago,2019,12,2019,12
Corporate Events,Closed Won,300.0,MONTH50CUTBACK,operations,not target,Outbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,300.0,MONTH50CUTBACK,quality of delivery,not target,Outbound,Seattle,2019,11,2019,11
Corporate Events,Closed Lost,1344.0,YEARLY30PROMO,operations,lost to competitor,Inbound,Chicago,2019,11,2019,11
Sports Events,Closed Won,120.0,HALFYEAR20G,financial control,not target,Inbound,Chicago,2019,11,2019,11
Educational Seminars,Other,768.0,HALFYEAR20G,operations,not target,Inbound,Chicago,2019,7,2020,1
Educational Seminars,Closed Won,1344.0,ANNUAL30BONUS,financial control,not target,Inbound,Chicago,2019,12,2019,12
Educational Seminars,Closed Lost,1344.0,ANNUAL30BONUS,financial control,no product fit,Outbound,San Diego,2019,12,2019,12
Educational Seminars,Closed Won,960.0,YEARLY60,operations,not target,Inbound,Chicago,2019,12,2019,12
Educational Seminars,Closed Won,300.0,SAVEMORE50,operations,not target,Inbound,Chicago,2019,8,2019,12
Corporate Events,Other,240.0,MONTH50REBATE,operations,not target,Inbound,Chicago,2019,11,2020,1
Corporate Events,Closed Won,240.0,MONTH50REBATE,operations,not target,Inbound,Chicago,2019,11,2019,7
Corporate Events,Closed Won,300.0,MONTH50CUTBACK,operations,not target,Inbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,360.0,SAVE25LESS,operations,not target,Inbound,San Francisco,2019,11,2019,11
Corporate Events,Closed Lost,360.0,MONTHSAVE25DEAL,quality of delivery,no response,Inbound,Chicago,2019,11,2019,11
Educational Seminars,Closed Won,120.0,NOCOSTREG,financial control,not target,Inbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,240.0,MONTH50REBATE,operations,not target,Inbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,financial control,not target,Inbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,768.0,2SEMESTERS20OFF,operations,not target,Outbound,Fort Worth,2019,11,2019,11
Educational Seminars,Closed Lost,500.0,2SEMESTERS20OFF,quality of delivery,price,Outbound,Seattle,2019,11,2019,11
Corporate Events,Closed Lost,360.0,MONTHSAVE25DEAL,financial control,lost to competitor,Outbound,Charlotte,2019,11,2019,11
Corporate Events,Other,1303.7540329575022,2SEMESTERS20OFF,operations,not target,Outbound,Chicago,2019,11,2020,1
Educational Seminars,Closed Lost,334.0,2SEMESTERS20OFF,operations,lost to competitor,Inbound,Chicago,2019,7,2019,7
Corporate Events,Closed Won,600.0,2SEMESTERS20OFF,operations,not target,Inbound,San Diego,2019,8,2019,8
Corporate Events,Closed Won,960.0,ANNUAL60DEAL,operations,not target,Inbound,Chicago,2019,12,2019,12
Sports Events,Closed Won,768.0,HALFYEAR20G,quality of delivery,not target,Outbound,Chicago,2019,9,2019,10
Sports Events,Other,1303.7540329575022,2SEMESTERS20OFF,operations,not target,Inbound,Chicago,2019,10,2020,1
Wedding Planning,Closed Lost,1303.7540329575022,2SEMESTERS20OFF,operations,no response,Inbound,Chicago,2019,11,2020,9
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,operations,not target,Outbound,Chicago,2019,11,2019,11
Sports Events,Other,1303.7540329575022,2SEMESTERS20OFF,operations,not target,Inbound,Chicago,2019,11,2020,1
Educational Seminars,Other,450.0,QUARTERSAVE25,financial control,not target,Inbound,Chicago,2019,11,2020,1
Educational Seminars,Closed Lost,360.0,25GIFT,financial control,no product fit,Outbound,Chicago,2019,11,2019,11
Sports Events,Closed Won,120.0,GIVEAWAYFREE,operations,not target,Inbound,Chicago,2019,9,2019,9
Corporate Events,Other,1303.7540329575022,2SEMESTERS20OFF,quality of delivery,not target,Outbound,Los Angeles,2019,12,2020,1
Corporate Events,Closed Won,1344.0,YEARLY30PROMO,operations,not target,Outbound,Chicago,2019,8,2019,9
Sports Events,Closed Won,960.0,YEARLY60,operations,not target,Inbound,Chicago,2020,3,2020,3
Corporate Events,Closed Won,120.0,3QUARTERS75CUT,operations,not target,Inbound,San Francisco,2019,11,2019,2
Wedding Planning,Closed Lost,1303.7540329575022,2SEMESTERS20OFF,operations,no response,Inbound,Chicago,2019,11,2019,11
Educational Seminars,Other,768.0,HALFYEAR20G,operations,not target,Outbound,Chicago,2020,4,2020,4
Corporate Events,Closed Won,1008.0,RENEW30YEARLY,operations,not target,Inbound,Chicago,2019,8,2019,8
Corporate Events,Other,300.0,MONTH50CUTBACK,operations,not target,Inbound,Chicago,2019,12,2019,12
Corporate Events,Closed Lost,240.0,DISCOUNT50POWER,financial control,no product fit,Outbound,San Francisco,2019,11,2019,11
Educational Seminars,Closed Lost,1344.0,ANNUAL30BONUS,quality of delivery,no response,Outbound,Chicago,2019,11,2019,11
Corporate Events,Closed Lost,0.0,2SEMESTERS20OFF,financial control,no response,Inbound,Chicago,2019,11,2019,11
Educational Seminars,Closed Lost,240.0,MONTH50REBATE,operations,no response,Inbound,Denver,2019,11,2019,11
Sports Events,Other,960.0,YEARLY60,operations,not target,Inbound,Chicago,2020,8,2020,8
Corporate Events,Closed Won,768.0,2SEMESTERS20OFF,financial control,not target,Inbound,Chicago,2019,1,2019,1
Educational Seminars,Closed Lost,200.0,2SEMESTERS20OFF,time saving,lost to competitor,Inbound,Chicago,2019,12,2019,12
Educational Seminars,Closed Won,300.0,SAVEMORE50,operations,not target,Inbound,Chicago,2019,12,2019,12
Corporate Events,Closed Won,1344.0,YEARLY30PROMO,operations,not target,Inbound,Chicago,2019,12,2019,12
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,operations,not target,Outbound,Philadelphia,2019,11,2019,11
Educational Seminars,Other,1303.7540329575022,2SEMESTERS20OFF,quality of delivery,not target,Outbound,Chicago,2019,8,2020,1
Corporate Events,Closed Won,1344.0,YEARLY30PROMO,operations,not target,Inbound,San Diego,2019,12,2019,12
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,operations,not target,Inbound,Chicago,2019,12,2019,12
Corporate Events,Closed Won,1344.0,YEARLY30PROMO,quality of delivery,not target,Inbound,Chicago,2019,12,2019,12
Educational Seminars,Closed Won,324.0,SLASH10,operations,not target,Inbound,San Francisco,2019,12,2019,12
Corporate Events,Closed Lost,768.0,2SEMESTERS20OFF,operations,no response,Outbound,Phoenix,2020,2,2020,10
Corporate Events,Closed Won,576.0,2SEMESTERS20SALE,operations,not target,Outbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,240.0,MONTH50REBATE,operations,not target,Inbound,Jacksonville,2019,12,2019,12
Corporate Events,Closed Won,240.0,MONTH50REBATE,quality of delivery,not target,Outbound,Chicago,2020,9,2020,9
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,operations,not target,Inbound,Chicago,2019,5,2019,12
