Id,Source,Discarded/Nurturing Reason,Acquisition Campaign,City
23okrabh,Inbound,Not Fit,,Chicago
hbzt0kp1,Inbound,Competitor,,Denver
velluwdq,Inbound,Not Target,,
vwm9vcdc,Inbound,Not the right moment,,
kbfjr4vz,Inbound,Not feeling,,Denver
su014jpj,Inbound,,,New York
1sqjzh1n,Inbound,Not Target,,San Jose
tj24u1op,Inbound,Not Target,,Jacksonville
0u8prqqe,Inbound,Not Target,,Jacksonville
vhio5dmx,Inbound,Unreachable,Follow-up: digital guide 2,
ywgrcgoi,Inbound,Not the right moment,,San Diego
henws78r,Inbound,Not Target,,Chicago
meg0fk0h,Inbound,Competitor,Follow-up: digital guide 2,San Francisco
54qsircu,Inbound,Wrong Data,,Jacksonville
uo3alag3,Inbound,,,
qr9pl81g,Inbound,Not Target,,
ps39rm18,Inbound,Not the right moment,,Chicago
fzo8lyur,Inbound,Not Target,,Philadelphia
yexf0pdo,Inbound,Not feeling,,Jacksonville
wes0qzke,Inbound,Not Fit,,San Diego
szuxdaw9,Inbound,Wrong Data,,Seattle
wg048onx,Inbound,Not Fit,,
2exqos94,Inbound,,,Chicago
csl917kg,Inbound,Not Target,,Fort Worth
i111haoj,Inbound,Not feeling,,Chicago
8omf4odw,Inbound,Not Target,,San Francisco
g6emao6t,Inbound,Unreachable,,Chicago
ow754ynf,Inbound,Unreachable,Follow-up: digital guide 2,
umu0rdsw,Inbound,Not feeling,,Dallas
eaxcqbdg,Inbound,Unreachable,,
52m0mquk,Inbound,Not the right moment,Follow-up: digital guide 2,Seattle
c0csrzx6,Inbound,Unreachable,,San Jose
ge37zmt9,Inbound,Not Target,,Chicago
387283th,Inbound,,,Chicago
f46lg31k,Inbound,Not the right moment,,
e4zzgixm,Inbound,Not Target,,Chicago
b3tg5exb,Inbound,Not Target,,Chicago
uc82tbwl,Inbound,Not Target,,Chicago
ipkk8eiv,Inbound,,,Chicago
59r3gp5g,Inbound,,,San Diego
w5p6onkh,Inbound,,,Chicago
upmelfel,Inbound,Not the right moment,,San Antonio
1akb9ya7,Inbound,Unreachable,Follow-up: digital guide 2,Austin
28s4gp30,Inbound,Not feeling,,
ypqmgyve,Inbound,Not Target,,
72w9wsno,Inbound,Not feeling,,Charlotte
883uq3ax,Inbound,Not the right moment,,New York
6p5tgkky,Inbound,Not the right moment,Follow-up: digital guide 2,Indianapolis
