Use Case,Status,Price,Discount code,Pain,Loss Reason,Source,City,Created Year,Created Month,Close Year,Close Month
2,1,300.0,83,1,5,0,2,2019,11,2019,11
3,0,150.0,2,1,7,0,2,2019,11,2019,11
3,0,768.0,51,1,4,0,2,2019,11,2019,11
1,1,240.0,22,0,5,0,15,2019,5,2019,5
3,0,240.0,81,0,4,0,2,2019,11,2019,11
1,0,360.0,66,0,7,0,2,2019,11,2019,11
1,1,768.0,2,1,5,0,2,2019,12,2019,12
1,1,300.0,60,1,5,1,2,2019,11,2019,11
1,1,300.0,60,2,5,1,18,2019,11,2019,11
1,0,1344.0,110,1,0,0,2,2019,11,2019,11
3,1,120.0,51,0,5,0,2,2019,11,2019,11
2,2,768.0,51,1,5,0,2,2019,7,2020,1
2,1,1344.0,6,0,5,0,2,2019,12,2019,12
2,0,1344.0,6,0,3,1,15,2019,12,2019,12
2,1,960.0,111,1,5,0,2,2019,12,2019,12
2,1,300.0,83,1,5,0,2,2019,8,2019,12
1,2,240.0,62,1,5,0,2,2019,11,2020,1
1,1,240.0,62,1,5,0,2,2019,11,2019,7
1,1,300.0,60,1,5,0,2,2019,11,2019,11
1,1,360.0,79,1,5,0,16,2019,11,2019,11
1,0,360.0,66,2,4,0,2,2019,11,2019,11
2,1,120.0,67,0,5,0,2,2019,11,2019,11
1,1,240.0,62,1,5,0,2,2019,11,2019,11
1,1,360.0,66,0,5,0,2,2019,11,2019,11
1,1,768.0,2,1,5,1,6,2019,11,2019,11
2,0,500.0,2,2,7,1,18,2019,11,2019,11
1,0,360.0,66,0,0,1,1,2019,11,2019,11
1,2,1303.7540329575022,2,1,5,1,2,2019,11,2020,1
2,0,334.0,2,1,0,0,2,2019,7,2019,7
1,1,600.0,2,1,5,0,15,2019,8,2019,8
1,1,960.0,8,1,5,0,2,2019,12,2019,12
3,1,768.0,51,2,5,1,2,2019,9,2019,10
3,2,1303.7540329575022,2,1,5,0,2,2019,10,2020,1
4,0,1303.7540329575022,2,1,4,0,2,2019,11,2020,9
1,1,360.0,66,1,5,1,2,2019,11,2019,11
3,2,1303.7540329575022,2,1,5,0,2,2019,11,2020,1
2,2,450.0,73,0,5,0,2,2019,11,2020,1
2,0,360.0,1,0,3,1,2,2019,11,2019,11
3,1,120.0,44,1,5,0,2,2019,9,2019,9
